"Confirmed list of securities to be auctioned in A 2011067 to be held on Apr 11, 2011."			
S No	Symbol	Series	Quantity
1	AARTIIND	EQ	153
2	ABAN	EQ	572
3	ABB	EQ	118
4	ABGSHIP	EQ	234
5	ABHISHEK	EQ	59
6	ABIRLANUVO	EQ	13
7	ACC	EQ	172
8	ACKRUTI	EQ	170
9	ADANIPOWER	EQ	64
10	ADSL	EQ	450
11	AFTEK	EQ	200
12	AGRODUTCH	EQ	3400
13	AKSHOPTFBR	EQ	12635
14	AKZOINDIA	EQ	1
15	ALBK	EQ	110
16	ALCHEM	EQ	201
17	ALOKTEXT	EQ	2535
18	AMAR	EQ	5
19	AMARAJABAT	EQ	40
20	AMBUJACEM	EQ	5
21	AMTEKAUTO	EQ	65
22	ANANTRAJ	EQ	298
23	ANDHRABANK	EQ	178
24	APIL	EQ	13
25	APOLLOTYRE	EQ	300
26	APPAPER	EQ	500
27	APTECHT	EQ	175
28	AREVAT&D	EQ	1008
29	ARIES	EQ	50
30	ARSHIYA	EQ	20
31	ARVIND	EQ	77
32	ASHOKLEY	EQ	1167
33	ASTERSILI	EQ	55
34	ASTRAMICRO	EQ	44
35	ATLANTA	EQ	4033
36	ATLASCYCLE	EQ	72
37	AUROPHARMA	EQ	7
38	AUSTRAL	EQ	2001
39	AXISBANK	EQ	118
40	BAJAJ-AUTO	EQ	14
41	BAJAJCORP	EQ	50
42	BAJAJFINSV	EQ	86
43	BAJAJHLDNG	EQ	110
44	BALAMINES	EQ	1101
45	BALLARPUR	EQ	2000
46	BALMLAWRIE	EQ	2
47	BALRAMCHIN	EQ	2940
48	BANKBARODA	EQ	740
49	BARTRONICS	EQ	82
50	BATAINDIA	EQ	164
51	BEL	EQ	263
52	BEML	EQ	1
53	BERGEPAINT	EQ	13
54	BFINVEST	EQ	1
55	BFUTILITIE	EQ	307
56	BHARTIARTL	EQ	152
57	BHARTISHIP	EQ	54
58	BILPOWER	EQ	40
59	BINANICEM	EQ	155
60	BINANIIND	EQ	101
61	BINDALAGRO	EQ	660
62	BIOCON	EQ	126
63	BIRLACORPN	EQ	4
64	BIRLAMONEY	EQ	96
65	BLUEDART	EQ	1964
66	BOC	EQ	111
67	BPCL	EQ	1
68	BPL	EQ	1273
69	BRFL	EQ	50
70	BRIGADE	EQ	14
71	BSELINFRA	EQ	1
72	BSTRANSCOM	EQ	1379
73	BURNPUR	EQ	1200
74	CADILAHC	EQ	2
75	CAMLIN	EQ	711
76	CEATLTD	EQ	5
77	CENTRALBK	EQ	36762
78	CHAMBLFERT	EQ	1888
79	CHESLINTEX	EQ	1
80	CHOLAFIN	EQ	1
81	CIPLA	EQ	100
82	CMAHENDRA	EQ	5
83	COALINDIA	EQ	282
84	COREPROTEC	EQ	509
85	COSMOFILMS	EQ	100
86	COX&KINGS	EQ	20
87	CRESTANI	EQ	190
88	CREWBOS	EQ	12453
89	CROMPGREAV	EQ	218
90	CUB	EQ	403
91	DAAWAT	EQ	20
92	DABUR	EQ	575
93	DALMIABEL	EQ	54
94	DCB	EQ	300
95	DCW	EQ	100
96	DECCANCE	EQ	274
97	DEEPAKFERT	EQ	660
98	DEEPIND	EQ	100
99	DELTACORP	EQ	101
100	DEN	EQ	14
101	DHANBANK	EQ	260
102	DISHMAN	EQ	3
103	DLINKINDIA	EQ	138
104	DREDGECORP	EQ	16
105	DRREDDY	N1	1254720
106	EASTSILK	EQ	2
107	ECLERX	EQ	50
108	EICHERMOT	EQ	2
109	EIDPARRY	EQ	37
110	EIHOTEL	EQ	2640
111	EKC	EQ	1015
112	ELECON	EQ	369
113	ELECTCAST	EQ	7
114	ELGIEQUIP	EQ	5
115	EMAMILTD	EQ	308
116	EMCO	EQ	25
117	EMMBI	EQ	100
118	ENERGYDEV	EQ	5
119	ERAINFRA	EQ	25
120	EROSMEDIA	EQ	30
121	ESCORTS	EQ	50
122	ESSAROIL	EQ	520
123	ESSARSHIP	EQ	941
124	ESSDEE	EQ	3
125	EVERONN	EQ	195
126	FCH	EQ	1
127	FCSSOFT	EQ	11000
128	FDC	EQ	3
129	FEDDERLOYD	EQ	100
130	FINPIPE	EQ	1
131	FIRSTLEASE	EQ	244
132	FIRSTWIN	EQ	35296
133	FMGOETZE	EQ	12
134	FORTIS	EQ	108
135	GAIL	EQ	25
136	GAL	EQ	1000
137	GAMMNINFRA	EQ	698
138	GARWOFFS	EQ	50
139	GATI	EQ	50
140	GEECEE	EQ	25
141	GENESYS	EQ	2
142	GEODESIC	EQ	30
143	GESHIP	EQ	100
144	GICHSGFIN	EQ	75
145	GITANJALI	EQ	64
146	GLENMARK	EQ	86
147	GMBREW	EQ	7
148	GMDCLTD	EQ	50
149	GMRINFRA	EQ	150
150	GNFC	EQ	15
151	GOKUL	EQ	95
152	GOLDSHARE	EQ	4
153	GPPL	EQ	1000
154	GRAVITA	EQ	47
155	GSFC	EQ	100
156	GTL	EQ	68
157	GTOFFSHORE	EQ	27
158	GUJALKALI	EQ	3
159	GUJAPOLLO	EQ	6545
160	GUJFLUORO	EQ	300
161	GUJNRECOKE	EQ	34
162	GUJRATGAS	EQ	25
163	GUJSIDHCEM	EQ	500
164	HANUNG	EQ	14149
165	HATHWAY	EQ	591
166	HAVELLS	EQ	280
167	HBLPOWER	EQ	4
168	HCL-INSYS	EQ	47
169	HCLTECH	EQ	36
170	HDFC	EQ	955
171	HDIL	EQ	100
172	HEIDELBERG	EQ	15001
173	HELIOSMATH	EQ	210
174	HERCULES	EQ	50
175	HEROHONDA	EQ	73
176	HEXAWARE	EQ	50
177	HINDALCO	EQ	106
178	HINDCOPPER	EQ	2
179	HINDMOTORS	EQ	2
180	HINDOILEXP	EQ	200
181	HINDPETRO	EQ	2137
182	HINDUJAVEN	EQ	393
183	HINDUNILVR	EQ	320
184	HMVL	EQ	10
185	HOCL	EQ	125
186	HTMEDIA	EQ	304
187	IBN18	EQ	9
188	IBPOW	EQ	3352
189	IBREALEST	EQ	2227
190	IBSEC	EQ	100
191	ICICIBANK	EQ	2
192	IDBI	EQ	211
193	IDEA	EQ	375
194	IDFC	EQ	250
195	IFBIND	EQ	100
196	IFCI	EQ	100
197	IFGLREFRAC	EQ	3
198	IGL	EQ	4
199	INDHOTEL	EQ	16
200	INDIABULLS	EQ	2
201	INDIAINFO	EQ	22365
202	INDIANB	EQ	150
203	INDSWFTLAB	EQ	50
204	INDSWFTLTD	EQ	1048
205	INDUSINDBK	EQ	100
206	INFINITE	EQ	14
207	INFOSYSTCH	EQ	5
208	INGVYSYABK	EQ	12
209	IOC	EQ	85
210	IRB	EQ	237
211	ISMTLTD	EQ	115
212	ISPATIND	EQ	1041
213	ITC	EQ	50
214	ITI	EQ	20
215	IVRCLAH	EQ	500
216	IVRCLINFRA	EQ	1543
217	JAIBALAJI	EQ	20
218	JAICORPLTD	EQ	1400
219	JAYSREETEA	EQ	10
220	JBCHEPHARM	EQ	45
221	JBFIND	EQ	234
222	JETAIRWAYS	EQ	5
223	JINDALPHOT	EQ	97
224	JINDALSAW	EQ	17
225	JINDALSTEL	EQ	17
226	JKLAKSHMI	EQ	256
227	JKTYRE	EQ	25
228	JMFINANCIL	EQ	6000
229	JPASSOCIAT	EQ	190
230	JPPOWER	EQ	25
231	JSL	EQ	205
232	JSWENERGY	EQ	50
233	JUBILANT	EQ	10
234	JUBLFOOD	EQ	315
235	JUBLINDS	EQ	115
236	JUPITER	EQ	351
237	JYOTHYLAB	EQ	1
238	KAJARIACER	EQ	49
239	KALPATPOWR	EQ	100
240	KCP	EQ	19
241	KEI	EQ	100
242	KESORAMIND	EQ	1241
243	KGL	EQ	2875
244	KIRIINDUS	EQ	10
245	KNRCON	EQ	50
246	KOTAKBANK	EQ	10
247	KRBL	EQ	1120
248	KSL	EQ	838
249	KTKBANK	EQ	472
250	KWALITY	EQ	116
251	LAKSHMIEFL	EQ	55
252	LAKSHVILAS	EQ	525
253	LANCOIN	EQ	1414
254	LITL	EQ	1000
255	LLOYDSTEEL	EQ	322
256	LML	EQ	600
257	LOVABLE	EQ	381
258	LUMAXAUTO	EQ	509
259	LUPIN	EQ	100
260	M&M	EQ	1
261	MADHUCON	EQ	281
262	MAGNUM	EQ	478
263	MAHABANK	EQ	109
264	MANALIPETC	EQ	200
265	MARG	EQ	75
266	MARKSANS	EQ	1
267	MAX	EQ	400
268	MBLINFRA	EQ	2000
269	MCDHOLDING	EQ	150
270	MCDOWELL-N	EQ	35
271	MCLEODRUSS	EQ	50
272	MEGASOFT	EQ	953
273	MEGH	EQ	413
274	MIC	EQ	760
275	MINDAIND	EQ	3296
276	MLL	EQ	1320
277	MMFL	EQ	1
278	MMFSL	EQ	159
279	MMTC	EQ	5
280	MOIL	EQ	40
281	MUKANDLTD	EQ	20
282	MUNDRAPORT	EQ	210
283	NAGARFERT	EQ	3092
284	NATIONALUM	EQ	30
285	NAVNETPUBL	EQ	1188
286	NCC	EQ	100
287	NDTV	EQ	500
288	NETWORK18	EQ	301
289	NEYVELILIG	EQ	20
290	NFL	EQ	900
291	NITINFIRE	EQ	350
292	NMDC	EQ	104
293	NOCIL	EQ	123
294	NOIDATOLL	EQ	150
295	NUCLEUS	EQ	1
296	OIL	EQ	35
297	OMAXE	EQ	170
298	OMKARCHEM	EQ	617
299	OMNITECH	EQ	1
300	ONGC	EQ	20
301	ONMOBILE	EQ	25
302	OPTOCIRCUI	EQ	290
303	ORCHIDCHEM	EQ	575
304	ORIENTABRA	EQ	200
305	ORIENTBANK	EQ	102
306	ORISSAMINE	EQ	1
307	PANACEABIO	EQ	500
308	PANTALOONR	EQ	121
309	PAREKHPLAT	EQ	8
310	PARSVNATH	EQ	150
311	PATELENG	EQ	128
312	PATSPINLTD	EQ	2
313	PBAINFRA	EQ	203
314	PENIND	EQ	450
315	PERSISTENT	EQ	48
316	PETRONET	EQ	8930
317	PFC	EQ	601
318	PFIZER	EQ	265
319	PFOCUS	EQ	1
320	PIDILITIND	EQ	15
321	PIRHEALTH	EQ	188
322	PITTILAM	EQ	100
323	PNB	EQ	29
324	POLARIND	EQ	500
325	POLARIS	EQ	122
326	POWERGRID	EQ	227
327	PRADIP	EQ	100
328	PRESTIGE	EQ	506
329	PRISMCEM	EQ	1051
330	PTC	EQ	100
331	PUNJLLOYD	EQ	150
332	PVP	EQ	799
333	QGOLDHALF	EQ	1
334	QUINTEGRA	EQ	2592
335	RADICO	EQ	403
336	RAJESHEXPO	EQ	100
337	RAMSARUP	EQ	158
338	RANASUG	EQ	4850
339	RANBAXY	EQ	105
340	RATNAMANI	EQ	150
341	RBN	EQ	65
342	RCF	EQ	100
343	RCOM	EQ	260
344	RECLTD	EQ	25
345	REIAGROLTD	EQ	1
346	RELCAPITAL	EQ	169
347	RELIANCE	EQ	335
348	RELINFRA	EQ	2
349	RENUKA	EQ	400
350	REPRO	EQ	352
351	RESURGERE	EQ	771000
352	RICOAUTO	EQ	50
353	RIIL	EQ	60
354	ROLTA	EQ	100
355	ROMAN	EQ	2110
356	RPOWER	EQ	39
357	RPPINFRA	EQ	280
358	RUCHISOYA	EQ	50
359	SABERORGAN	EQ	50
360	SAGCEM	EQ	1
361	SAIL	EQ	15
362	SAKHTISUG	EQ	6
363	SANWARIA	EQ	315
364	SARDAEN	EQ	63
365	SASKEN	EQ	10
366	SATYAMCOMP	EQ	2626
367	SBIN	EQ	226
368	SBIN	N1	7
369	SBIN	N5	40
370	SEAMECLTD	EQ	232
371	SELMCL	EQ	100
372	SESAGOA	EQ	9
373	SESHAPAPER	EQ	1
374	SEZALGLASS	EQ	2000
375	SHANTIGEAR	EQ	158
376	SHASUNPHAR	EQ	862
377	SHREEASHTA	EQ	18378
378	SHRENUJ	EQ	100
379	SIEMENS	EQ	2
380	SIMBHSUGAR	EQ	28
381	SINTEX	EQ	25
382	SIRPAPER	EQ	25
383	SJVN	EQ	5
384	SKUMARSYNF	EQ	202
385	SMPL	EQ	201
386	SOBHA	EQ	323
387	SONATSOFTW	EQ	1
388	SPYL	EQ	421
389	SREINFRA	EQ	64
390	SRF	EQ	100
391	SRTRANSFIN	EQ	55
392	SSWL	EQ	62
393	STAN	DR	50
394	STCINDIA	EQ	92
395	STER	EQ	30
396	STERLINBIO	EQ	349
397	STRTECH	EQ	70
398	SUDAR	EQ	500
399	SUJANATOW	EQ	7100
400	SUJANAUNI	EQ	201
401	SUMEETINDS	EQ	100
402	SUMMITSEC	EQ	10
403	SUNFLAG	EQ	2500
404	SUNTECK	EQ	103
405	SUPREMEINF	EQ	60
406	SURANAIND	EQ	18
407	SUVEN	EQ	800
408	SUZLON	EQ	1925
409	SYNDIBANK	EQ	72
410	TAJGVK	EQ	615
411	TAKE	EQ	241
412	TALBROAUTO	EQ	152
413	TATACHEM	EQ	96
414	TATACOFFEE	EQ	20
415	TATAELXSI	EQ	100
416	TATAGLOBAL	EQ	180
417	TATAMETALI	EQ	930
418	TATAMOTORS	EQ	65
419	TATAPOWER	EQ	50
420	TATASTEEL	EQ	26
421	TCI	EQ	1
422	TCIFINANCE	EQ	250
423	TECHM	EQ	17
424	TECHNOFAB	EQ	75
425	TECPRO	EQ	75
426	TELEDATAIT	EQ	5500
427	TEXMOPIPES	EQ	2568
428	TEXRAIL	EQ	190
429	THOMASCOOK	EQ	100
430	TI	EQ	5
431	TIDEWATER	EQ	11
432	TIIL	EQ	50
433	TIMESGTY	EQ	100
434	TODAYS	EQ	200
435	TTKHEALTH	EQ	1
436	TTKPRESTIG	EQ	45
437	TTML	EQ	3000
438	TUBEINVEST	EQ	50
439	TULIP	EQ	101
440	TULSYAN	EQ	282
441	UBHOLDINGS	EQ	128
442	UFLEX	EQ	449
443	UNIONBANK	EQ	90
444	UNIPHOS	EQ	51
445	UNITECH	EQ	1805
446	UNITEDBNK	EQ	20
447	USHERAGRO	EQ	85
448	UTTAMSTL	EQ	217
449	UTVSOF	EQ	115
450	VALECHAENG	EQ	25
451	VARDHACRLC	EQ	3000
452	VARUN	EQ	175
453	VARUNSHIP	EQ	75
454	VASCONEQ	EQ	102
455	VIDEOIND	EQ	523
456	VIPIND	EQ	90
457	VIPUL	EQ	5
458	VISHALRET	EQ	4874
459	VIVIMEDLAB	EQ	100
460	VLSFINANCE	EQ	4122
461	WALCHANNAG	EQ	540
462	WELCORP	EQ	50
463	WELPROJ	EQ	10
464	WELSPUNIND	EQ	1
465	WIPRO	EQ	66
466	WOCKPHARMA	EQ	65
467	XPROINDIA	EQ	1195
468	YESBANK	EQ	3495
469	ZANDUREALT	EQ	3659
470	ZEEL	EQ	30
471	ZEELEARN	EQ	250
472	ZICOM	EQ	8
473	ZODIACLOTH	EQ	2
474	ZUARIAGRO	EQ	4
475	ZYLOG	EQ	1536
